,Date,Close,Percentage_Increase_Decrease,Amount_Invested,return_on_investment
3236,2020-12-10,13478.2998046875,-0.37548548058806697,187.0,1644970.2401447105
3237,2020-12-11,13513.849609375,0.2637558535026452,0.0,1649308.9454414686
3238,2020-12-14,13558.150390625,0.32781762806703973,0.0,1654715.6709059123
3239,2020-12-15,13567.849609375,0.07153791977927426,0.0,1655899.42007514
3240,2020-12-16,13682.7001953125,0.8464907059269056,0.0,1669916.4547655736
3241,2020-12-17,13740.7001953125,0.4238929390550483,0.0,1676995.1127054433
3242,2020-12-18,13760.5498046875,0.1444584998788523,0.0,1679417.6746882992
3243,2020-12-21,13328.400390625,-3.14049525779333,1511.0,1628186.64225617
3244,2020-12-22,13466.2998046875,1.0346283876607965,0.0,1645032.3234610534
3245,2020-12-23,13601.099609375,1.0010159185716239,0.0,1661499.3588845471
3246,2020-12-24,13749.25,1.089253037474136,0.0,1679597.2911188104
3247,2020-12-28,13873.2001953125,0.9015051389166695,0.0,1694738.9470113516
3248,2020-12-29,13932.599609375,0.4281594241144937,0.0,1701995.1315271193
3249,2020-12-30,13981.9501953125,0.3542094606974411,0.0,1708023.7593035982
3250,2020-12-31,13981.75,-0.0014318125132972703,3302.0,1711301.3036056824
3251,2021-01-01,14018.5,0.26284263414808606,0.0,1715799.3330302902
3252,2021-01-04,14132.900390625,0.8160672727110629,0.0,1729801.409852545
3253,2021-01-05,14199.5,0.47123808655142874,0.0,1737952.8929174738
3254,2021-01-06,14146.25,-0.37501320469031096,187.0,1731622.340077736
3255,2021-01-07,14137.349609375,-0.06291696120880319,30.0,1730562.8559217462
3256,2021-01-08,14347.25,1.4847223590326086,0.0,1756256.9095807297
3257,2021-01-11,14484.75,0.9583718134137165,0.0,1773088.3807732821
3258,2021-01-12,14563.4501953125,0.5433314024232416,0.0,1782722.126738741
3259,2021-01-13,14564.849609375,0.009609083312889233,0.0,1782893.4299931368
3260,2021-01-14,14595.599609375,0.21112473403230858,0.0,1786657.5590052893
3261,2021-01-15,14433.7001953125,-1.1092344158201595,530.0,1767369.3384679502
3262,2021-01-18,14281.2998046875,-1.0558650142566628,449.0,1749157.3039503677
3263,2021-01-19,14521.150390625,1.6794730817062842,0.0,1778533.9300269135
3264,2021-01-20,14644.7001953125,0.8508265623863087,0.0,1793666.1691246356
3265,2021-01-21,14590.349609375,-0.37112802046228577,141.0,1787150.3713774616
3266,2021-01-22,14371.900390625,-1.4972171647596122,548.0,1760940.849257133
3267,2021-01-25,14238.900390625,-0.9254169343308138,288.0,1744932.8044345586
3268,2021-01-27,13967.5,-1.9060488041877988,538.0,1712211.533581753
3269,2021-01-28,13817.5498046875,-1.0735650281904374,245.0,1694074.8293485763
3270,2021-01-29,13634.599609375,-1.3240422354072856,2044.0,1673688.5631085972
3271,2021-02-01,14281.2001953125,4.742351110133836,0.0,1753060.7512613607
3272,2021-02-02,14647.849609375,2.567357148195737,0.0,1798068.0817710832
3273,2021-02-03,14789.9501953125,0.9701122671723184,0.0,1815511.3608044544
3274,2021-02-04,14895.650390625,0.7146758029381362,0.0,1828486.3811997168
3275,2021-02-05,14924.25,0.19199973566108586,0.0,1831997.0702182192
3276,2021-02-08,15115.7998046875,1.283480273296811,0.0,1855510.3912218455
3277,2021-02-09,15109.2998046875,-0.04300136336804483,21.0,1854733.4964561844
3278,2021-02-10,15106.5,-0.018530340410816137,9.0,1854398.8080255776
3279,2021-02-11,15173.2998046875,0.4421924647502795,0.0,1862598.8198210858
3280,2021-02-12,15163.2998046875,-0.06590524229219685,32.0,1861403.269555951
3281,2021-02-15,15314.7001953125,0.9984659841533849,0.0,1879988.7480303862
3282,2021-02-16,15313.4501953125,-0.008162092525865194,4.0,1879839.3016092961
3283,2021-02-17,15208.900390625,-0.6827318687430917,336.0,1867341.0396160518
3284,2021-02-18,15118.9501953125,-0.5914312869584326,271.0,1856568.0004735477
3285,2021-02-19,14981.75,-0.9074717063029758,392.0,1840112.1711609755
3286,2021-02-22,14675.7001953125,-2.042817459158641,803.0,1803325.038460396
